"mhm_protocol","mhm_measuredDate","mhm_createDate","mhm_updateDate","mhm_publishDate","mhm_organizationId","mhm_organizationName","mhm_siteId","mhm_siteName","mhm_ExtraData","mhm_AbdomenCloseupPhotoUrls","mhm_LarvaeCount","mhm_MosquitoEggs","mhm_LocationAccuracyM","mhm_MosquitoEggCount","mhm_Comments","mhm_WaterSourcePhotoUrls","mhm_Latitude","mhm_Longitude","mhm_MosquitoHabitatMapperId","mhm_BreedingGroundEliminated","mhm_MeasuredAt","mhm_MeasurementElevation","mhm_Userid","mhm_Genus","mhm_LocationMethod","mhm_WaterSource","mhm_MosquitoAdults","mhm_Species","mhm_MosquitoPupae","mhm_DataSource","mhm_LarvaFullBodyPhotoUrls","mhm_LastIdentifyStage","mhm_WaterSourceType","mhm_GlobeTeams"
"mosquito_habitat_mapper","2021-07-08","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17043304","United States of America Citizen Science","239631","14RPR595611","","","","","9","","","https://data.globe.gov/system/photos/2021/07/08/2328684/original.jpg; https://data.globe.gov/system/photos/2021/07/08/2328685/original.jpg","27.6651","-97.3826","30584","false","2021-07-08T23:50:00","0","81622489","","automatic","can or bottle","","","false","GLOBE Observer App","","identify","container: artificial","[SEES2021]"
"mosquito_habitat_mapper","2021-07-10","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17043304","United States of America Citizen Science","239631","14RPR595611","","https://data.globe.gov/system/photos/2021/07/10/2328691/original.jpg; https://data.globe.gov/system/photos/2021/07/10/2328692/original.jpg","76","true","11","","","https://data.globe.gov/system/photos/2021/07/10/2328686/original.jpg; https://data.globe.gov/system/photos/2021/07/10/2328687/original.jpg","27.665","-97.3825","30585","false","2021-07-10T23:25:00","0","81622489","","automatic","can or bottle","true","","false","GLOBE Observer App","https://data.globe.gov/system/photos/2021/07/10/2328688/original.jpg; https://data.globe.gov/system/photos/2021/07/10/2328689/original.jpg; https://data.globe.gov/system/photos/2021/07/10/2328690/original.jpg","identify-siphon-pecten","container: artificial","[SEES2021]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231930","47PPL026539","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328709/original.jpg","9.533","99.9357","30586","true","2021-07-13T02:02:00","0","80448842","","manual","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231930","47PPL026539","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328710/original.jpg","9.533","99.9357","30587","true","2021-07-13T02:05:00","0","80448842","","manual","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231930","47PPL026539","","","30","","","","","https://data.globe.gov/system/photos/2021/07/13/2328711/original.jpg","9.533","99.9357","30588","true","2021-07-13T02:07:00","0","80448842","","manual","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231932","47PPL029541","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328712/original.jpg","9.5352","99.938","30589","true","2021-07-13T02:08:00","0","80448842","","manual","well or cistern","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231932","47PPL029541","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328714/original.jpg","9.5351","99.9379","30591","true","2021-07-13T02:13:00","0","80448842","","manual","animal trough or water bowl","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231932","47PPL029541","","","10","","","","","https://data.globe.gov/system/photos/2021/07/13/2328715/original.jpg","9.5351","99.9379","30592","true","2021-07-13T02:15:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231932","47PPL029541","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328716/original.jpg","9.5351","99.9381","30593","true","2021-07-13T02:16:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231932","47PPL029541","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328717/original.jpg","9.5351","99.9381","30594","true","2021-07-13T02:19:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
